Species,Family,Area Present,Area Future Optimistic,Area Future Pessimistic,IUCN category,Branch Length
Isthmohyla zeteki,Hylidae,1076353698,89887099278,64442142000,Vulnerable,23.55471434
Itapotihyla langsdorffii,Hylidae,372669000000,17203907086,15970198186,Least Concern,42.72413568
Lysapsus bolivianus,Hylidae,1021440000000,52421771268,52357611590,Least Concern,1.656696189
Lysapsus laevis,Hylidae,105634000000,60971136736,56582376386,Least Concern,18.30899276
Lysapsus limellum,Hylidae,661844000000,944359000000,961171000000,Least Concern,1.656696189
Megastomatohyla mixe,Hylidae,81562628,4462640000000,4416050000000,Critically Endangered,13.46773896
Megastomatohyla mixomaculata,Hylidae,1759157454,32753879136,29859724332,Endangered,11.61602596
Megastomatohyla nubicola,Hylidae,60655934,678391000000,663877000000,Critically Endangered,4.296937304
Melanophryniscus atroluteus,Bufonidae,174114000000,3108070000000,2742250000000,Least Concern,8.646807176
Melanophryniscus klappenbachi,Bufonidae,166662000000,1300720000000,1142240000000,Least Concern,1.514907196
Melanophryniscus macrogranulosus,Bufonidae,261110568,770245000000,771328000000,Endangered,8.646807176
Melanophryniscus montevidensis,Bufonidae,126535000000,1647420000000,1657120000000,Near Threatened,0.159535605
Melanophryniscus moreirae,Bufonidae,1385224548,5078050000000,4893920000000,Near Threatened,14.46315323
Melanophryniscus pachyrhynus,Bufonidae,9659422162,40792632724,46302496942,Least Concern,1.313804163
Melanophryniscus rubriventris,Bufonidae,91710819058,1130950000000,1118610000000,Least Concern,3.809506551
Melanophryniscus simplex,Bufonidae,23291869490,20334770944,17457188730,Least Concern,18.6349217
Melanophryniscus stelzneri,Bufonidae,41193845492,36965629664,46307055978,Least Concern,1.63417582
Melanophryniscus tumifrons,Bufonidae,13093200044,59816577100,67012339780,Least Concern,1.514907196
Myersiohyla chamaeleo,Hylidae,747860406,74625969696,78514773256,Near Threatened,5.290300704
Nannophryne cophotis,Bufonidae,5102489962,924336000000,943882000000,Critically Endangered,0.809540921
Nannophryne variegata,Bufonidae,113871000000,619127000000,631976000000,Least Concern,27.78648706
Nesorohyla kanaima,Hylidae,2490078280,70483702506,50282258650,Endangered,71.36548057
Nyctimantis rugiceps,Hylidae,46972692312,41952890590,40917848996,Least Concern,26.0201972
Oreophrynella macconnelli,Bufonidae,1085372956,25372806226,6602291306,Vulnerable,1.061658017
Osornophryne antisana,Bufonidae,4572693856,682816000000,692981000000,Endangered,2.72920338
Osornophryne bufoniformis,Bufonidae,7691006230,76970400496,82332767576,Near Threatened,1.572882661
Osornophryne guacamayo,Bufonidae,4102910068,8580383214,6652348744,Vulnerable,12.28249385
Osornophryne occidentalis,Bufonidae,2072829394,28715613488,22649992668,Endangered,6.071330287
Osornophryne percrassa,Bufonidae,2535132918,70635163472,70081496672,Vulnerable,0.749419741
Osteocephalus alboguttatus,Hylidae,19423744532,1248150000000,1248130000000,Least Concern,9.449366265
